t,Nprime_at_8.5Bark
0.7800,0.00000000
0.7820,0.00000000
0.7840,0.00000000
0.7860,0.00000000
0.7880,0.00000000
0.7900,0.00000000
0.7920,0.00000000
0.7940,0.00000000
0.7960,0.00000000
0.7980,0.00000000
0.8000,0.00000000
0.8020,0.00000000
0.8040,0.00000000
0.8060,0.00000000
0.8080,0.00000000
0.8100,0.00000000
0.8120,0.00000000
0.8140,0.00000000
0.8160,0.00000000
0.8180,0.00000000
0.8200,0.00000000
0.8220,0.00000000
0.8240,0.00000000
0.8260,0.00000000
0.8280,0.00000000
0.8300,0.00000000
0.8320,0.00000000
0.8340,0.00000000
0.8360,0.00000000
0.8380,0.00000000
0.8400,0.00000000
0.8420,0.00000000
0.8440,0.00000000
0.8460,0.00000000
0.8480,0.00000000
0.8500,0.00000000
0.8520,0.00000000
0.8540,0.00000000
0.8560,0.00000000
0.8580,0.00000000
0.8600,0.00000000
0.8620,0.00000000
0.8640,0.00000000
0.8660,0.00000000
0.8680,0.00000000
0.8700,0.00000000
0.8720,0.00000000
0.8740,0.00000000
0.8760,0.00000000
0.8780,0.00000000
0.8800,0.00000000
0.8820,0.00000000
0.8840,0.00000000
0.8860,0.00000000
0.8880,0.00000000
0.8900,0.00000000
0.8920,0.00000000
0.8940,0.00000000
0.8960,0.00000000
0.8980,0.00000000
0.9000,0.00000000
0.9020,0.00000000
0.9040,0.00000000
0.9060,0.00000000
0.9080,0.00000000
0.9100,0.00000000
0.9120,0.00000000
0.9140,0.00000000
0.9160,0.00000000
0.9180,0.00000000
0.9200,0.00000000
0.9220,0.00000000
0.9240,0.00000000
0.9260,0.00000000
0.9280,0.00000000
0.9300,0.00000000
0.9320,0.00000000
0.9340,0.00000000
0.9360,0.00000000
0.9380,0.00000000
0.9400,0.00000000
0.9420,0.00000000
0.9440,0.00000000
0.9460,0.00000000
0.9480,0.00000000
0.9500,0.00000000
0.9520,0.00000000
0.9540,0.00000000
0.9560,0.00000000
0.9580,0.00000000
0.9600,0.00000000
0.9620,0.00000000
0.9640,0.00000000
0.9660,0.00000000
0.9680,0.00000000
0.9700,0.00000000
0.9720,0.00000000
0.9740,0.00000000
0.9760,0.00000000
0.9780,0.00000000
0.9800,0.00000000
0.9820,0.00000000
0.9840,0.00000000
0.9860,0.00000000
0.9880,0.00000000
0.9900,0.00000000
0.9920,0.00000000
0.9940,0.00000000
0.9960,0.00000000
0.9980,0.00000000
